,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
100,Caris LeVert,CLE,18,32.1,11.9,4.1,10.7,37.8,1.6,4.2,38.7,2.2,2.8,78.4,1.1,3.6,4.7,4.7,0.7,0.1,1.8,13.0
101,Nic Claxton,BKN,22,27.4,11.7,5.3,7.3,72.5,0.0,0.0,0.0,1.2,2.6,45.6,2.5,6.0,8.5,1.3,0.7,2.1,1.4,19.6
102,Jabari Smith Jr.,HOU,20,30.1,11.7,3.9,10.9,35.3,2.2,6.3,34.4,1.8,2.1,85.7,1.4,5.7,7.0,0.9,0.4,1.0,1.1,12.4
103,Tim Hardaway Jr.,DAL,20,25.0,11.6,3.7,11.0,33.8,2.3,7.2,31.9,1.9,2.2,86.4,0.3,2.1,2.3,2.0,0.8,0.2,0.9,8.4
104,Rui Hachimura,WAS,16,23.5,11.6,4.8,9.9,48.1,0.8,2.3,33.3,1.3,1.8,72.4,0.8,4.1,4.8,1.1,0.3,0.5,1.4,11.3
105,Marcus Smart,BOS,20,32.4,11.5,4.1,9.2,44.0,1.8,5.0,36.0,1.6,1.9,86.5,0.4,2.8,3.2,7.6,1.1,0.3,2.2,16.1
106,Shake Milton,PHI,18,23.3,11.5,4.5,8.4,53.3,0.9,2.2,40.0,1.6,1.9,85.3,0.9,2.7,3.6,3.5,0.3,0.2,1.9,12.9
107,Clint Capela,ATL,20,27.7,11.5,5.2,8.5,61.5,0.0,0.0,0.0,1.1,1.9,56.8,4.3,7.9,12.1,0.8,0.7,1.5,0.9,21.5
108,Jalen Smith,IND,21,23.8,11.4,4.1,9.3,44.4,1.2,4.1,29.9,1.9,2.4,76.5,1.8,5.4,7.2,1.0,0.3,0.9,1.3,13.7
109,Jaden McDaniels,MIN,19,29.9,11.4,4.5,8.4,53.5,1.1,2.9,35.7,1.4,1.8,76.5,1.4,2.1,3.5,1.4,1.1,1.4,1.5,12.9
110,Bruce Brown,DEN,21,29.4,11.3,4.5,9.6,46.8,1.4,3.4,40.3,1.0,1.1,87.5,1.0,3.5,4.5,4.7,1.1,0.5,1.8,15.1
111,Kentavious Caldwell-Pope,DEN,20,31.3,11.3,4.0,8.4,47.0,2.3,4.6,49.5,1.2,1.5,76.7,0.5,2.6,3.1,2.3,1.2,0.5,1.3,12.3
112,Caleb Martin,MIA,21,32.4,11.3,4.4,9.1,48.4,1.4,3.4,40.8,1.0,1.3,78.6,1.9,3.3,5.2,2.1,1.3,0.4,1.2,14.1
113,Grayson Allen,MIL,18,27.1,11.2,3.4,7.4,45.5,2.1,4.7,44.0,2.4,2.6,91.5,0.9,2.4,3.3,2.7,0.9,0.3,1.3,12.9
114,Derrick White,BOS,22,26.3,11.1,3.8,7.8,49.1,1.9,4.2,45.2,1.5,1.8,87.2,0.5,2.5,3.0,3.3,0.9,0.7,0.9,13.9
115,Jaylen Nowell,MIN,22,17.9,11.0,4.3,10.0,43.0,1.3,4.2,31.5,1.1,1.4,77.4,0.6,2.1,2.8,2.0,0.6,0.1,1.0,9.5
116,Kenyon Martin Jr.,HOU,21,24.8,11.0,4.2,7.8,54.3,1.0,3.0,33.3,1.5,2.3,64.6,1.4,3.9,5.3,1.5,0.4,0.5,1.3,13.0
117,De'Anthony Melton,PHI,20,28.1,10.9,4.2,10.2,40.7,1.9,5.4,35.5,0.7,1.1,66.7,1.1,3.1,4.2,3.2,2.2,0.5,1.8,12.8
118,Al Horford,BOS,18,31.3,10.9,4.2,7.6,55.5,2.2,4.4,48.8,0.3,0.4,62.5,1.1,5.2,6.3,2.8,0.4,0.9,0.7,17.1
119,Austin Reaves,LAL,20,28.8,10.9,3.4,6.2,54.0,1.2,2.9,39.7,3.0,3.3,90.9,0.8,2.6,3.3,2.1,0.5,0.4,1.1,12.9
120,Jalen Williams,OKC,18,25.1,10.7,4.3,8.2,52.4,0.7,2.4,29.5,1.4,1.7,83.9,0.6,2.6,3.2,2.6,0.7,0.3,1.6,11.7
